2023-11-04 12:07:49,384 INFO [test_flights_search] | test_flights_search.py(test_flights_search:68) | - number of children are  1
2023-11-04 12:07:49,384 INFO [test_flights_search] | test_flights_search.py(test_flights_search:68) | - number of children are  1
2023-11-04 12:07:49,545 INFO [test_flights_search] | test_flights_search.py(test_flights_search:73) | - number of infants are  1
2023-11-04 12:07:49,545 INFO [test_flights_search] | test_flights_search.py(test_flights_search:73) | - number of infants are  1
2023-11-04 12:21:50,963 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:21:51,620 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:21:51,662 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
2023-11-04 12:21:56,899 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from SYD
2023-11-04 12:22:02,096 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to HGH
2023-11-04 12:22:02,269 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:22:02,590 INFO [test_flights_search] | test_flights_search.py(test_flights_search:64) | - number of adults are  1
2023-11-04 12:22:02,813 INFO [test_flights_search] | test_flights_search.py(test_flights_search:70) | - number of children are  1
2023-11-04 12:22:03,021 INFO [test_flights_search] | test_flights_search.py(test_flights_search:76) | - number of infants are  1
2023-11-04 12:23:00,297 INFO [test_flights_search] | test_flights_search.py(test_flights_search:84) | - expected_result: No Results Found
2023-11-04 12:23:17,956 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:23:17,956 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:23:18,558 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:23:18,558 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:23:18,600 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:23:18,600 INFO [test_flights_search] | test_flights_search.py(test_flights_search:37) | - round trip is selected
2023-11-04 12:23:23,768 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:23:23,768 INFO [test_flights_search] | test_flights_search.py(test_flights_search:43) | - flying from DEL
2023-11-04 12:23:28,954 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:23:28,954 INFO [test_flights_search] | test_flights_search.py(test_flights_search:49) | - destination to NYC
2023-11-04 12:23:29,138 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:23:29,138 INFO [test_flights_search] | test_flights_search.py(test_flights_search:53) | - depart date is  09-12-2023
2023-11-04 12:23:29,248 INFO [test_flights_search] | test_flights_search.py(test_flights_search:56) | - depart date is  09-12-2023
2023-11-04 12:23:29,248 INFO [test_flights_search] | test_flights_search.py(test_flights_search:56) | - depart date is  09-12-2023
2023-11-04 12:23:29,497 INFO [test_flights_search] | test_flights_search.py(test_flights_search:64) | - number of adults are  1
2023-11-04 12:23:29,497 INFO [test_flights_search] | test_flights_search.py(test_flights_search:64) | - number of adults are  1
2023-11-04 12:23:29,676 INFO [test_flights_search] | test_flights_search.py(test_flights_search:70) | - number of children are  1
2023-11-04 12:23:29,676 INFO [test_flights_search] | test_flights_search.py(test_flights_search:70) | - number of children are  1
2023-11-04 12:23:29,828 INFO [test_flights_search] | test_flights_search.py(test_flights_search:76) | - number of infants are  1
2023-11-04 12:23:29,828 INFO [test_flights_search] | test_flights_search.py(test_flights_search:76) | - number of infants are  1
2023-11-04 12:24:11,077 INFO [test_flights_search] | test_flights_search.py(test_flights_search:84) | - expected_result: No Results Found
2023-11-04 12:24:11,077 INFO [test_flights_search] | test_flights_search.py(test_flights_search:84) | - expected_result: No Results Found
2023-11-04 12:25:44,368 INFO [test_flights_search] | test_flights_search.py(test_flights_search:27) | - Entering FLIGHTS page
2023-11-04 12:25:44,511 INFO [test_flights_search] | test_flights_search.py(test_flights_search:30) | - flights type selected is: Economy
2023-11-04 12:25:44,931 INFO [test_flights_search] | test_flights_search.py(test_flights_search:34) | - one way is selected
